year,league,rank,team,wins,loses,ties,WL,GB
2019,Pacific,4,Chiba Lotte Marines,69,70,4,0.496,9.5
2019,Pacific,5,Hokkaido Nippon Ham Fighters,65,73,5,0.471,13
2019,Pacific,6,Orix Buffaloes,61,75,7,0.449,16
2020,Central,1,Yomiuri Giants,67,45,8,0.598,0
2020,Central,2,Hanshin Tigers,60,53,7,0.531,7.5
2020,Central,3,Chunichi Dragons,60,55,5,0.522,8.5
2020,Central,4,Yokohama Bay Stars,56,58,6,0.491,12
2020,Central,5,Hiroshima Carp,52,56,12,0.481,13
2020,Central,6,Yakult Swallows,41,69,10,0.373,25
2020,Pacific,1,Fukuoka Softbank Hawks,73,42,5,0.635,0
2020,Pacific,2,Chiba Lotte Marines,60,57,3,0.513,14
2020,Pacific,3,Saitama Seibu Lions,58,58,4,0.5,15.5
2020,Pacific,4,Tohoku Rakuten Golden Eagles,55,57,8,0.491,16.5
2020,Pacific,5,Hokkaido Nippon Ham Fighters,53,62,5,0.461,20
2020,Pacific,6,Orix Buffaloes,45,68,7,0.398,27
2021,Central,1,Yakult Swallows,73,52,18,0.584,0
2021,Central,2,Hanshin Tigers,77,56,10,0.579,0
2021,Central,3,Yomiuri Giants,61,62,20,0.496,11
2021,Central,4,Hiroshima Carp,63,68,12,0.481,13
2021,Central,5,Chunichi Dragons,55,71,17,0.437,18.5
2021,Central,6,Yokohama Bay Stars,54,73,16,0.425,20
2021,Pacific,1,Orix Buffaloes,70,55,18,0.56,0
2021,Pacific,2,Chiba Lotte Marines,67,57,19,0.54,2.5
2021,Pacific,3,Tohoku Rakuten Golden Eagles,66,62,15,0.516,5.5
2021,Pacific,4,Fukuoka Softbank Hawks,60,62,21,0.492,8.5
2021,Pacific,5,Hokkaido Nippon Ham Fighters,55,68,20,0.447,14
2021,Pacific,6,Saitama Seibu Lions,55,70,18,0.44,15
2022,Central,1,Yakult Swallows,80,59,4,0.576,0
2022,Central,2,Yokohama Bay Stars,73,68,2,0.518,8
2022,Central,3,Hanshin Tigers,68,71,4,0.489,12
2022,Central,4,Yomiuri Giants,68,72,3,0.486,12.5
2022,Central,5,Hiroshima Carp,66,74,3,0.471,14.5
2022,Central,6,Chunichi Dragons,66,75,2,0.468,15
2022,Pacific,1,Fukuoka Softbank Hawks,76,65,2,0.539,0
2022,Pacific,2,Orix Buffaloes,76,65,2,0.539,0
2022,Pacific,3,Saitama Seibu Lions,72,68,3,0.514,3.5
2022,Pacific,4,Tohoku Rakuten Golden Eagles,69,71,3,0.493,6.5
2022,Pacific,5,Chiba Lotte Marines,69,73,1,0.486,7.5
2022,Pacific,6,Hokkaido Nippon Ham Fighters,59,81,3,0.421,16.5
2023,Central,1,Hanshin Tigers,85,53,5,0.616,0
2023,Central,2,Hiroshima Carp,74,65,4,0.532,11.5
2023,Central,3,Yokohama Bay Stars,74,66,3,0.529,12
2023,Central,4,Yomiuri Giants,71,70,2,0.504,15.5
2023,Central,5,Yakult Swallows,57,83,3,0.407,29
2023,Central,6,Chunichi Dragons,56,82,5,0.406,29
2023,Pacific,1,Orix Buffaloes,86,53,4,0.619,0
2023,Pacific,2,Chiba Lotte Marines,70,68,5,0.507,15.5
2023,Pacific,3,Fukuoka Softbank Hawks,71,69,3,0.507,15.5
2023,Pacific,4,Tohoku Rakuten Golden Eagles,70,71,2,0.496,17
2023,Pacific,5,Saitama Seibu Lions,65,77,1,0.458,22.5
2023,Pacific,6,Hokkaido Nippon Ham Fighters,60,82,1,0.423,27.5
